-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,TS,TS_MAX,PRECTOTCORR,RH2M,GWETPROF
2023,71,18.56,1.44,6.67,1.53,6.93,0.01,82.94,0.83
2023,72,5.4,3.39,6.8,3.05,6.74,9.62,86.62,0.83
2023,73,3.68,1.41,2.36,1.59,2.33,59.38,96.38,0.87
2023,74,12.22,1.24,2.77,1.45,2.9,1.16,88.94,0.88
2023,75,16.14,1.45,5.82,1.51,5.63,0.0,82.5,0.88
2023,76,10.79,4.48,9.19,4.01,8.86,0.02,89.25,0.88
2023,77,15.84,4.23,8.98,4.12,8.79,0.06,81.94,0.88
2023,78,17.67,-1.39,1.02,-0.79,1.48,0.0,69.81,0.88
2023,79,19.09,1.58,7.82,1.84,7.58,0.0,77.75,0.87
2023,80,18.87,4.33,11.33,4.3,10.94,0.0,80.31,0.86
2023,81,18.06,5.68,11.36,5.61,11.29,0.01,83.31,0.85
2023,82,6.58,8.49,11.93,8.23,11.44,0.45,94.31,0.85
2023,83,15.91,4.64,8.48,4.55,8.25,0.0,81.0,0.84
2023,84,3.67,1.76,4.1,1.98,4.3,3.93,90.56,0.84
2023,85,17.66,5.77,10.6,5.62,10.29,0.8,80.44,0.84
2023,86,17.57,5.87,12.77,5.65,12.05,5.42,75.69,0.84
2023,87,9.2,3.99,8.02,4.07,8.03,3.39,83.94,0.84
2023,88,22.52,3.75,11.01,3.97,10.87,0.02,72.31,0.84
2023,89,24.04,-0.14,3.46,0.37,3.88,0.27,65.0,0.84
2023,90,16.58,2.24,7.8,2.58,7.98,4.91,76.44,0.83
2023,91,7.5,8.73,14.62,8.35,13.9,10.64,97.25,0.84
2023,92,24.18,2.6,9.24,2.79,8.73,3.24,67.38,0.84
2023,93,22.37,3.95,9.87,3.82,9.62,0.05,67.69,0.84
2023,94,15.42,9.01,16.01,8.72,15.36,0.89,85.5,0.83
2023,95,6.18,4.98,6.55,5.08,6.58,0.85,86.5,0.83
2023,96,11.15,9.51,17.55,9.28,16.8,0.64,90.19,0.82
2023,97,15.21,6.24,10.81,6.1,10.49,0.0,67.0,0.82
2023,98,25.52,2.58,9.16,2.76,9.07,0.0,67.19,0.81
2023,99,25.68,4.77,12.05,4.55,11.81,0.0,62.56,0.8
2023,100,25.0,7.8,16.42,7.44,15.56,0.0,67.62,0.8
2023,101,19.31,11.47,17.84,11.08,16.97,0.0,71.25,0.79
2023,102,20.2,13.22,17.96,12.47,17.22,0.01,71.62,0.78
2023,103,23.59,17.19,26.73,16.05,24.74,0.0,75.19,0.77
2023,104,22.83,17.42,27.08,16.74,25.9,0.0,70.88,0.76
2023,105,19.01,12.3,19.08,12.19,18.51,0.21,85.31,0.75
2023,106,10.45,11.4,16.55,11.37,16.37,0.8,89.5,0.75
2023,107,5.58,11.34,15.15,11.23,14.97,2.11,93.31,0.75
2023,108,13.34,8.94,12.42,8.82,12.2,0.04,78.06,0.74
2023,109,13.27,6.23,9.76,6.4,9.76,0.02,71.5,0.73
2023,110,26.22,7.77,15.4,7.4,14.8,0.0,67.88,0.73
2023,111,23.83,9.15,14.99,9.23,14.98,1.3,78.75,0.73
2023,112,10.72,9.3,13.18,9.32,13.05,3.79,85.44,0.73
2023,113,3.66,8.51,10.16,8.51,10.09,40.65,93.56,0.75
2023,114,17.17,9.76,15.14,9.54,14.59,1.31,82.81,0.77
2023,115,18.13,9.63,15.26,9.58,14.75,2.32,77.75,0.77
2023,116,17.06,8.49,13.06,8.72,13.15,1.59,81.62,0.77
2023,117,16.45,9.19,13.37,9.07,13.2,1.37,83.44,0.77
2023,118,22.69,10.25,16.08,10.01,15.77,0.11,79.0,0.77
2023,119,8.28,8.83,11.82,8.92,11.87,6.41,87.31,0.76
2023,120,5.2,10.25,12.42,10.22,12.29,40.89,95.5,0.78
2023,121,17.59,12.61,16.08,12.35,15.73,11.3,80.75,0.81
2023,122,12.0,8.66,12.17,8.69,12.03,7.25,92.12,0.81
2023,123,11.56,9.1,13.08,9.13,12.96,1.97,85.88,0.81
2023,124,10.27,7.57,10.73,7.67,10.9,1.31,85.88,0.81
2023,125,16.11,10.27,15.55,10.15,15.17,0.12,80.5,0.81
2023,126,28.04,13.65,20.27,13.35,19.55,0.0,73.25,0.8
2023,127,27.88,15.38,22.08,14.98,21.12,0.29,72.19,0.79
2023,128,28.29,14.31,19.76,14.05,19.26,0.7,72.81,0.78
2023,129,26.66,11.04,16.76,10.73,16.65,0.0,67.0,0.77
2023,130,28.58,12.72,19.58,12.55,18.96,0.0,68.88,0.77
2023,131,24.16,16.12,23.57,15.7,22.51,0.01,72.75,0.75
2023,132,23.84,18.56,24.8,17.94,23.74,0.06,75.19,0.74
2023,133,28.41,17.45,22.96,17.07,22.25,0.65,70.25,0.73
2023,134,28.69,11.66,16.8,11.79,16.69,0.0,65.88,0.72
2023,135,23.67,13.48,20.36,13.48,19.86,0.0,64.25,0.71
2023,136,18.08,15.53,21.87,15.31,21.31,0.0,66.19,0.7
2023,137,30.21,9.09,12.55,9.41,12.69,0.07,60.62,0.69
2023,138,30.92,8.98,16.66,9.36,16.41,0.0,60.75,0.68
2023,139,25.63,11.99,18.5,12.05,18.18,0.0,76.5,0.67
2023,140,7.55,14.74,17.47,14.61,17.12,43.74,91.5,0.68
2023,141,25.61,16.32,21.03,15.9,20.31,2.76,79.88,0.72
2023,142,27.87,13.0,17.37,13.01,17.32,0.15,74.56,0.71
2023,143,26.95,13.08,19.05,12.59,18.87,0.0,73.06,0.7
2023,144,21.98,13.87,21.48,13.78,20.98,3.34,74.5,0.7
2023,145,27.5,12.21,17.76,12.24,17.51,0.0,70.88,0.7
2023,146,30.13,13.78,19.8,12.92,19.22,0.0,63.75,0.69
2023,147,29.84,17.04,26.11,16.4,25.23,0.0,66.44,0.67
2023,148,29.55,19.05,26.18,18.66,25.26,0.0,72.69,0.66
2023,149,30.26,14.54,18.55,14.33,18.44,0.0,69.5,0.65
2023,150,30.84,13.98,20.31,13.48,20.08,0.0,72.06,0.64
2023,151,31.11,16.3,24.19,16.21,23.48,0.01,71.56,0.63
2023,152,30.45,21.37,32.94,20.4,30.43,0.0,67.75,0.62
2023,153,22.91,21.09,29.02,20.58,27.81,11.93,76.88,0.61
2023,154,6.84,10.93,13.39,11.34,13.55,2.24,86.25,0.62
2023,155,11.54,9.26,11.33,9.8,11.82,2.27,87.5,0.62
2023,156,13.13,12.73,16.4,12.86,16.33,3.28,87.25,0.62
2023,157,22.05,15.27,20.21,15.11,19.75,0.64,79.44,0.62
2023,158,13.8,14.11,18.4,14.08,18.16,0.49,78.31,0.61
2023,159,14.87,14.05,17.88,13.58,17.58,1.31,79.06,0.6
2023,160,16.08,14.17,17.64,13.62,17.33,4.94,85.0,0.6
2023,161,20.73,15.27,19.87,14.83,19.43,4.17,81.44,0.6
2023,162,26.55,18.63,25.23,18.21,24.18,0.05,77.31,0.6
2023,163,20.11,19.27,24.32,18.98,23.68,0.43,81.19,0.59
2023,164,15.84,19.05,24.76,18.85,24.15,9.8,87.81,0.59
2023,165,20.99,18.27,23.62,18.02,23.03,6.07,83.31,0.59
2023,166,22.32,18.51,23.33,18.24,22.69,1.91,81.88,0.59
2023,167,20.35,20.42,25.25,19.8,24.54,2.06,78.31,0.59
2023,168,6.78,16.33,18.98,16.13,18.98,25.78,93.31,0.59
2023,169,18.1,16.83,20.33,16.65,20.09,2.0,84.69,0.61
2023,170,17.71,16.9,20.77,16.92,20.73,0.09,82.62,0.61
2023,171,18.09,17.05,21.58,17.09,21.46,0.52,83.94,0.6
2023,172,22.16,16.21,21.42,16.05,21.33,0.04,79.88,0.59
2023,173,28.52,16.44,21.64,16.13,21.55,0.01,78.19,0.59
2023,174,21.11,19.95,25.68,19.8,25.16,0.11,83.62,0.58
2023,175,11.94,20.75,24.08,20.6,23.83,5.96,93.62,0.58
2023,176,23.6,23.54,28.62,23.15,27.65,1.56,82.19,0.58
2023,177,14.11,22.04,26.37,21.87,25.95,13.83,89.06,0.57
2023,178,15.49,21.63,23.93,21.44,23.66,5.28,92.69,0.59
2023,179,12.75,20.86,22.85,20.69,22.55,17.39,96.38,0.59
2023,180,22.55,21.98,26.3,21.65,25.72,0.77,81.44,0.6
2023,181,23.59,21.91,26.52,21.68,26.03,0.06,81.69,0.59
2023,182,20.83,21.24,25.76,20.93,25.33,0.07,80.25,0.58
2023,183,5.49,20.62,22.64,20.43,22.52,25.28,94.5,0.59
2023,184,16.94,21.99,26.37,21.65,25.84,7.85,87.56,0.61
2023,185,9.1,20.84,24.23,20.73,24.16,36.26,92.38,0.64
2023,186,28.32,24.94,33.17,24.12,31.95,0.09,76.0,0.65
2023,187,26.38,25.65,31.63,25.15,30.75,0.04,76.88,0.63
2023,188,28.06,24.15,28.78,23.96,28.28,0.08,79.69,0.62
2023,189,20.59,23.74,28.32,23.56,27.77,0.33,83.31,0.61
2023,190,12.39,22.07,25.23,21.93,24.85,2.27,90.88,0.6
2023,191,7.18,20.87,23.28,20.87,23.17,29.23,96.25,0.62
2023,192,28.15,22.5,27.52,22.33,27.01,0.14,82.12,0.63
2023,193,24.47,24.46,29.58,24.05,28.87,0.42,81.62,0.62
2023,194,21.78,24.04,28.38,23.61,27.82,2.19,82.38,0.61
2023,195,14.9,23.08,26.73,22.91,26.71,12.48,92.38,0.62
2023,196,20.06,24.18,28.18,23.97,27.75,7.64,88.88,0.62
2023,197,5.89,23.28,25.02,23.06,24.73,28.34,96.75,0.63
2023,198,24.75,25.29,29.44,24.77,28.47,18.55,82.25,0.67
2023,199,16.43,23.48,26.36,23.24,25.94,2.15,89.75,0.66
2023,200,20.63,22.97,26.24,22.52,25.76,1.57,82.25,0.66
2023,201,27.63,22.65,28.23,22.44,28.06,0.02,75.25,0.65
2023,202,11.51,21.19,24.34,21.05,24.15,14.41,88.25,0.64
2023,203,24.65,21.93,26.48,21.33,25.9,3.09,80.56,0.66
2023,204,28.55,22.55,29.87,22.21,28.96,0.0,72.0,0.64
2023,205,21.36,22.6,27.71,22.44,27.23,0.66,81.12,0.63
2023,206,17.23,23.18,27.7,22.96,27.16,7.03,87.44,0.62
2023,207,26.03,23.44,28.2,23.16,27.59,0.67,81.94,0.62
2023,208,14.13,24.23,27.92,23.94,27.33,4.94,88.31,0.62
2023,209,27.12,25.26,29.86,24.76,28.87,0.14,81.38,0.61
2023,210,15.35,24.22,29.37,23.87,28.57,27.3,85.56,0.61
2023,211,25.9,18.67,23.44,18.62,23.23,0.6,77.25,0.62
2023,212,24.51,20.0,25.12,19.75,24.66,0.24,77.0,0.61
2023,213,26.36,18.43,22.98,18.41,22.76,0.0,72.75,0.6
2023,214,25.02,18.01,23.48,17.99,23.12,0.0,71.12,0.59
2023,215,22.92,19.39,24.76,19.37,24.38,0.44,77.75,0.58
2023,216,10.73,20.97,24.76,20.8,24.41,1.63,84.12,0.57
2023,217,23.85,21.64,26.52,21.19,25.71,0.6,79.31,0.56
2023,218,26.79,20.58,25.87,20.21,25.21,0.0,74.56,0.55
2023,219,7.11,20.04,22.82,19.89,22.49,3.37,88.44,0.55
2023,220,15.71,22.64,27.15,22.31,26.55,30.78,90.88,0.57
2023,221,23.57,21.52,25.78,21.23,25.22,0.23,77.5,0.58
2023,222,13.42,21.08,25.88,20.76,25.14,7.4,85.38,0.57
2023,223,24.99,20.47,24.63,20.19,24.17,0.46,79.31,0.57
2023,224,22.85,21.0,26.69,20.66,25.83,0.49,79.19,0.55
2023,225,20.85,22.77,26.81,22.38,26.21,3.35,87.0,0.55
2023,226,21.47,21.99,26.69,21.39,26.08,0.13,78.12,0.55
2023,227,5.45,19.78,21.48,19.61,21.26,21.5,95.38,0.56
2023,228,6.79,19.76,23.4,19.68,23.28,1.73,91.12,0.56
2023,229,10.02,20.37,24.66,20.28,24.44,0.78,88.44,0.56
2023,230,13.67,20.9,26.33,20.7,25.87,23.32,91.94,0.57
2023,231,13.22,18.54,22.03,18.55,21.87,0.31,79.88,0.58
2023,232,23.25,20.25,25.44,20.11,24.92,0.0,77.56,0.57
2023,233,16.23,21.8,27.47,21.45,26.62,3.6,84.88,0.56
2023,234,24.84,18.92,23.83,18.86,23.47,0.03,72.81,0.56
2023,235,25.61,18.23,24.23,18.13,24.2,0.01,71.69,0.55
2023,236,19.96,18.43,24.07,18.47,23.73,3.27,77.81,0.54
2023,237,5.36,19.97,23.21,19.89,22.93,29.32,93.38,0.55
2023,238,19.75,22.9,27.29,22.21,26.52,1.87,82.5,0.57
2023,239,17.08,20.01,23.81,19.83,23.66,1.13,86.31,0.56
2023,240,19.77,20.02,24.69,19.65,24.39,0.2,84.19,0.56
2023,241,16.9,20.83,26.04,20.69,25.66,2.67,87.06,0.55
2023,242,12.14,21.44,26.19,21.12,25.65,9.93,88.94,0.55
2023,243,24.83,17.35,21.73,17.38,21.59,0.01,72.69,0.55
2023,244,23.88,16.76,22.69,16.73,22.49,0.0,71.38,0.55
2023,245,21.38,18.65,24.98,18.67,24.48,0.03,80.62,0.54
2023,246,21.55,22.21,27.7,21.33,26.87,0.06,78.12,0.53
2023,247,21.71,22.69,29.58,21.98,28.93,0.03,80.44,0.52
2023,248,19.0,24.19,29.66,23.27,28.8,0.02,79.0,0.52
2023,249,19.04,25.28,31.05,24.73,29.96,0.05,79.12,0.51
2023,250,20.98,26.02,32.71,25.46,31.66,0.26,76.56,0.5
2023,251,10.58,24.05,28.26,23.8,27.72,6.77,90.12,0.49
2023,252,14.45,23.37,26.53,22.98,26.05,5.82,90.81,0.5
2023,253,6.69,22.4,25.72,22.08,25.35,12.16,89.38,0.51
2023,254,8.42,22.83,30.15,22.66,29.94,26.44,89.5,0.52
2023,255,12.93,22.73,26.83,22.48,26.74,3.05,87.81,0.55
2023,256,7.01,21.19,23.91,21.16,23.73,12.06,94.12,0.55
2023,257,21.25,18.86,23.54,18.97,23.39,0.63,79.62,0.55
2023,258,15.78,15.87,19.26,16.24,19.41,0.52,74.31,0.55
2023,259,10.02,17.08,20.44,17.18,20.21,2.18,69.5,0.55
2023,260,21.18,17.51,23.69,17.52,23.33,0.26,77.56,0.54
2023,261,3.28,17.56,19.89,17.45,19.88,49.1,95.5,0.56
2023,262,17.35,17.63,21.74,17.63,21.49,0.41,80.19,0.59
2023,263,20.11,16.26,21.86,16.35,21.61,0.01,77.12,0.59
2023,264,19.67,16.48,22.05,15.61,21.76,0.0,72.38,0.58
2023,265,15.16,15.47,20.57,15.37,20.52,0.0,81.69,0.58
2023,266,5.46,13.9,15.78,14.19,15.99,4.78,91.81,0.57
2023,267,5.02,15.25,17.64,15.42,17.73,7.07,93.88,0.58
2023,268,3.92,14.77,16.41,14.92,16.51,4.49,92.81,0.59
2023,269,13.33,13.48,16.88,13.59,17.16,0.26,80.19,0.59
2023,270,17.16,13.15,18.74,13.12,18.69,0.01,83.19,0.58
2023,271,13.42,13.56,19.58,13.31,19.5,0.09,84.69,0.58
2023,272,2.37,13.48,15.55,13.55,15.65,15.54,95.44,0.58
2023,273,6.33,14.2,19.29,14.3,19.17,4.17,88.44,0.59
2023,274,14.92,16.11,21.98,15.88,21.68,0.32,86.19,0.59
2023,275,18.05,16.5,20.62,15.65,20.46,0.11,74.44,0.59
2023,276,17.26,18.05,26.01,17.84,25.19,0.01,83.31,0.58
2023,277,16.91,19.27,26.31,18.99,25.69,0.13,87.0,0.58
2023,278,15.84,17.78,23.83,17.44,23.44,0.14,86.56,0.57
2023,279,6.07,17.97,22.74,17.88,22.49,1.61,91.19,0.57
2023,280,6.39,17.22,19.45,17.15,19.37,6.49,97.06,0.57
2023,281,15.82,12.73,17.11,13.06,17.11,0.57,77.44,0.57
2023,282,14.46,11.58,16.22,12.01,16.29,0.13,75.5,0.56
2023,283,9.1,10.96,15.91,11.05,15.98,0.75,86.31,0.56
2023,284,10.42,13.19,18.93,13.37,18.76,0.06,84.31,0.56
2023,285,12.21,13.69,19.4,13.39,19.13,0.05,78.75,0.55
2023,286,14.99,10.98,16.15,11.39,16.14,0.0,76.81,0.55
2023,287,10.56,10.94,16.17,11.29,16.22,0.08,80.69,0.55
2023,288,10.19,10.45,15.05,10.87,15.11,0.08,78.5,0.55
2023,289,7.89,10.24,13.47,10.68,13.69,2.91,91.06,0.55
2023,290,8.07,11.63,16.55,11.2,16.5,0.47,85.38,0.54
2023,291,7.46,12.07,17.12,11.67,17.04,0.38,86.0,0.54
2023,292,11.4,13.14,18.06,13.29,17.86,0.06,83.12,0.54
2023,293,5.49,13.56,15.92,13.55,15.78,5.06,96.5,0.54
2023,294,2.29,13.37,14.76,13.34,14.72,34.62,97.31,0.56
2023,295,9.43,10.25,13.18,10.59,13.3,0.3,73.38,0.59
2023,296,11.58,9.69,15.59,10.06,15.56,0.23,81.38,0.59
2023,297,10.32,9.36,15.93,9.38,15.79,0.01,84.44,0.58
2023,298,11.58,13.86,20.41,13.8,20.0,0.01,85.94,0.58
2023,299,10.41,16.67,23.83,16.12,22.78,0.01,81.06,0.57
2023,300,10.64,17.45,23.66,17.14,22.9,0.01,84.5,0.57
2023,301,11.3,17.9,24.5,17.58,23.73,0.01,82.69,0.56
2023,302,2.47,9.66,12.0,10.11,12.27,8.95,80.38,0.56
2023,303,2.35,9.6,12.69,10.05,12.87,15.68,95.06,0.59
2023,304,13.17,4.85,9.42,5.35,10.17,0.0,66.06,0.59
2023,305,8.19,3.53,6.79,4.37,7.54,0.75,80.06,0.59
2023,306,12.89,2.12,7.9,3.01,8.55,0.0,72.75,0.59
2023,307,11.83,5.79,12.05,6.39,12.12,0.0,78.38,0.59
2023,308,5.54,8.14,12.47,8.16,12.54,0.01,87.12,0.58
2023,309,7.45,8.49,15.08,8.55,14.93,0.07,83.69,0.58
2023,310,6.88,6.66,10.8,7.11,11.08,0.27,81.62,0.58
2023,311,8.23,12.28,17.83,12.19,17.46,2.31,84.94,0.58
2023,312,11.79,3.25,6.1,4.14,6.85,0.31,61.31,0.58
2023,313,1.46,3.22,6.26,3.9,6.82,4.09,87.06,0.58
2023,314,4.95,5.63,9.5,6.13,9.67,0.01,87.25,0.58
2023,315,11.4,3.43,8.26,4.12,8.65,0.0,76.94,0.58
2023,316,9.63,-0.05,5.44,0.84,6.26,0.0,78.88,0.57
2023,317,10.08,0.78,6.32,1.36,7.01,0.14,78.38,0.57
2023,318,7.1,2.6,8.26,3.05,8.64,0.02,85.88,0.57
2023,319,8.85,3.35,8.28,3.89,8.6,0.0,85.25,0.57
2023,320,10.24,8.3,14.83,6.95,14.5,0.01,80.12,0.57
2023,321,7.89,10.53,16.48,10.49,16.05,0.07,90.19,0.56
2023,322,4.08,7.27,11.77,7.48,11.53,6.06,83.06,0.57
2023,323,9.94,3.51,9.59,4.16,9.7,0.07,75.94,0.57
2023,324,10.87,-0.28,3.7,0.71,4.5,0.0,70.5,0.57
2023,325,7.71,0.4,4.87,1.19,5.49,2.85,75.75,0.56
2023,326,3.2,5.06,9.53,5.26,9.02,28.38,98.38,0.59
2023,327,9.44,4.17,8.15,4.65,8.3,0.07,87.81,0.61
2023,328,9.18,2.35,6.8,3.01,7.15,0.06,76.19,0.6
2023,329,9.61,-2.04,2.76,-1.06,3.81,0.0,66.06,0.6
2023,330,7.25,1.81,5.89,2.44,6.15,2.94,83.38,0.6
2023,331,7.66,6.05,9.81,6.18,9.62,10.03,87.75,0.62
2023,332,8.15,-0.22,2.65,0.7,3.37,0.04,70.75,0.62
2023,333,7.84,-1.85,1.78,-0.78,2.63,0.0,71.31,0.61
2023,334,9.12,0.98,6.7,1.73,6.91,0.0,79.44,0.61
2023,335,6.01,5.49,9.57,5.65,9.37,1.63,92.06,0.61
2023,336,3.29,6.68,11.43,6.67,11.29,0.14,95.62,0.61
2023,337,1.59,5.8,6.52,5.98,6.71,17.61,96.38,0.62
2023,338,5.45,4.52,7.37,4.73,7.51,1.73,96.19,0.63
2023,339,4.69,0.51,3.05,1.34,3.83,0.28,87.44,0.63
2023,340,5.62,-2.11,0.84,-1.1,1.85,0.27,83.0,0.63
2023,341,5.74,-3.59,-0.0,-2.39,1.03,0.0,73.62,0.63
2023,342,8.15,-0.51,5.16,-0.09,5.6,0.0,86.75,0.63
2023,343,5.7,3.33,7.34,3.49,7.27,0.08,98.31,0.63
2023,344,2.97,8.98,14.51,8.86,14.01,15.82,98.88,0.63
2023,345,3.79,6.3,14.82,6.31,14.22,54.69,88.69,0.7
2023,346,8.58,0.78,4.89,1.42,5.2,0.0,81.38,0.71
2023,347,7.79,1.17,4.96,1.77,5.22,0.02,80.5,0.7
