-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1985,31.64,47.46,73.83,31.64,89.65,94.92,94.92,131.84,94.92,58.01,163.48,26.37,938.67
PRECTOTCORR_SUM,1986,116.02,84.38,89.65,58.01,36.91,158.2,137.11,89.65,36.91,58.01,152.93,179.3,1197.07
PRECTOTCORR_SUM,1987,152.93,10.55,105.47,232.03,47.46,58.01,31.64,73.83,163.48,73.83,84.38,52.73,1086.33
PRECTOTCORR_SUM,1988,68.55,100.2,84.38,63.28,89.65,36.91,184.57,63.28,47.46,68.55,189.84,26.37,1023.05
PRECTOTCORR_SUM,1989,10.55,68.55,89.65,105.47,116.02,116.02,116.02,131.84,116.02,152.93,121.29,31.64,1175.98
PRECTOTCORR_SUM,1990,94.92,94.92,42.19,121.29,152.93,26.37,89.65,163.48,42.19,189.84,52.73,116.02,1186.52
PRECTOTCORR_SUM,1991,73.83,42.19,110.74,110.74,52.73,68.55,63.28,189.84,174.02,94.92,116.02,79.1,1175.98
PRECTOTCORR_SUM,1992,68.55,52.73,89.65,58.01,42.19,126.56,94.92,116.02,89.65,47.46,110.74,158.2,1054.69
PRECTOTCORR_SUM,1993,63.28,89.65,168.75,142.38,21.09,47.46,52.73,31.64,131.84,94.92,89.65,147.66,1081.05
PRECTOTCORR_SUM,1994,131.84,52.73,174.02,58.01,116.02,42.19,58.01,137.11,126.56,10.55,110.74,142.38,1160.16
PRECTOTCORR_SUM,1995,110.74,79.1,47.46,42.19,63.28,58.01,79.1,47.46,73.83,184.57,158.2,68.55,1012.5
PRECTOTCORR_SUM,1996,174.02,79.1,73.83,163.48,89.65,47.46,142.38,36.91,163.48,242.58,63.28,168.75,1444.92
PRECTOTCORR_SUM,1997,79.1,47.46,137.11,121.29,68.55,21.09,58.01,89.65,31.64,47.46,152.93,73.83,928.12
PRECTOTCORR_SUM,1998,137.11,131.84,121.29,79.1,126.56,279.49,52.73,68.55,52.73,131.84,47.46,36.91,1265.62
PRECTOTCORR_SUM,1999,142.38,89.65,110.74,10.55,73.83,21.09,73.83,47.46,216.21,105.47,63.28,42.19,996.68
PRECTOTCORR_SUM,2000,84.38,73.83,100.2,147.66,68.55,105.47,126.56,79.1,63.28,58.01,100.2,100.2,1107.42
PRECTOTCORR_SUM,2001,52.73,58.01,216.21,31.64,47.46,147.66,52.73,63.28,68.55,15.82,26.37,73.83,854.3
PRECTOTCORR_SUM,2002,63.28,47.46,94.92,68.55,137.11,100.2,36.91,52.73,89.65,89.65,121.29,126.56,1028.32
PRECTOTCORR_SUM,2003,58.01,100.2,105.47,110.74,94.92,110.74,52.73,126.56,79.1,131.84,58.01,116.02,1144.34
PRECTOTCORR_SUM,2004,31.64,36.91,58.01,200.39,110.74,52.73,89.65,131.84,142.38,47.46,105.47,116.02,1123.24
PRECTOTCORR_SUM,2005,94.92,63.28,126.56,105.47,137.11,31.64,73.83,73.83,52.73,326.95,121.29,89.65,1297.27
PRECTOTCORR_SUM,2006,121.29,52.73,10.55,68.55,284.77,242.58,89.65,84.38,58.01,137.11,142.38,52.73,1344.73
PRECTOTCORR_SUM,2007,73.83,36.91,116.02,200.39,79.1,68.55,94.92,31.64,63.28,84.38,79.1,121.29,1049.41
PRECTOTCORR_SUM,2008,68.55,200.39,137.11,84.38,31.64,89.65,158.2,89.65,216.21,58.01,105.47,168.75,1408.01
PRECTOTCORR_SUM,2009,84.38,52.73,63.28,110.74,89.65,137.11,216.21,94.92,47.46,137.11,100.2,116.02,1249.8
PRECTOTCORR_SUM,2010,73.83,121.29,332.23,47.46,79.1,68.55,63.28,116.02,63.28,126.56,100.2,79.1,1270.9
PRECTOTCORR_SUM,2011,79.1,105.47,68.55,116.02,63.28,121.29,52.73,216.21,131.84,189.84,100.2,94.92,1339.45
PRECTOTCORR_SUM,2012,68.55,21.09,31.64,73.83,105.47,131.84,58.01,105.47,100.2,89.65,21.09,137.11,943.95
PRECTOTCORR_SUM,2013,36.91,100.2,68.55,47.46,110.74,221.48,84.38,63.28,89.65,26.37,79.1,89.65,1017.77
PRECTOTCORR_SUM,2014,84.38,105.47,116.02,79.1,68.55,68.55,131.84,68.55,31.64,147.66,110.74,152.93,1165.43
PRECTOTCORR_SUM,2015,94.92,79.1,68.55,68.55,26.37,152.93,47.46,63.28,110.74,58.01,63.28,126.56,959.77
PRECTOTCORR_SUM,2016,63.28,94.92,84.38,68.55,52.73,47.46,31.64,58.01,47.46,142.38,58.01,116.02,864.84
PRECTOTCORR_SUM,2017,105.47,79.1,89.65,152.93,131.84,100.2,84.38,63.28,94.92,158.2,52.73,63.28,1175.98
PRECTOTCORR_SUM,2018,100.2,126.56,110.74,142.38,36.91,84.38,84.38,131.84,184.57,116.02,242.58,89.65,1450.2
PRECTOTCORR_SUM,2019,142.38,79.1,73.83,168.75,68.55,116.02,116.02,110.74,31.64,131.84,100.2,174.02,1313.09
PRECTOTCORR_SUM,2020,47.46,84.38,84.38,131.84,42.19,73.83,52.73,42.19,31.64,126.56,105.47,152.93,975.59
PRECTOTCORR_SUM,2021,52.73,73.83,42.19,110.75,113.71,59.93,281.85,105.99,184.71,169.44,54.63,78.26,1328.02
PRECTOTCORR_SUM,2022,72.4,132.34,72.21,100.12,44.94,66.29,43.59,60.68,123.37,114.89,84.92,154.24,1069.98
ALLSKY_SFC_SW_DWN,1981,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN,1982,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN,1983,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN,1984,6.05,9.08,14.14,16.75,15.15,19.3,20.7,20.56,16.8,11.05,7.36,5.29,13.53
ALLSKY_SFC_SW_DWN,1985,7.81,10.95,15.44,17.35,20.49,17.53,22.96,17.69,14.24,10.67,5.99,6.17,13.97
ALLSKY_SFC_SW_DWN,1986,7.34,9.37,15.41,16.79,20.62,20.86,19.51,17.39,13.8,10.46,6.68,6.21,13.73
ALLSKY_SFC_SW_DWN,1987,6.67,11.26,13.05,13.55,20.31,20.18,20.03,19.04,13.66,11.97,7.45,5.61,13.58
ALLSKY_SFC_SW_DWN,1988,6.95,10.05,15.4,14.58,17.45,23.91,18.93,18.8,15.83,9.9,6.99,5.89,13.73
ALLSKY_SFC_SW_DWN,1989,6.75,9.18,13.63,17.64,18.11,18.66,20.58,18.41,15.34,10.87,7.21,6.84,13.63
ALLSKY_SFC_SW_DWN,1990,6.5,9.76,14.64,15.34,17.12,20.46,20.71,17.77,14.93,10.57,7.01,5.34,13.37
ALLSKY_SFC_SW_DWN,1991,6.78,9.57,12.46,17.36,21.64,22.01,20.12,18.52,15.13,10.98,6.53,5.79,13.93
ALLSKY_SFC_SW_DWN,1992,6.9,9.57,13.79,16.74,22.12,22.67,21.32,17.96,14.71,9.7,6.46,4.99,13.92
ALLSKY_SFC_SW_DWN,1993,6.47,10.84,13.26,15.64,19.24,22.69,21.75,19.82,12.21,10.19,7.15,5.43,13.74
ALLSKY_SFC_SW_DWN,1994,6.74,10.65,14.13,17.99,19.7,20.67,21.53,18.3,13.86,12.12,6.94,5.57,14.04
ALLSKY_SFC_SW_DWN,1995,7.27,10.78,12.68,18.06,18.01,21.0,20.28,19.72,15.21,10.48,6.61,6.39,13.88
ALLSKY_SFC_SW_DWN,1996,6.16,9.33,14.66,16.85,19.25,19.31,19.71,19.1,12.23,10.93,6.99,5.21,13.33
ALLSKY_SFC_SW_DWN,1997,6.85,9.82,13.27,19.09,19.26,22.74,22.35,18.35,14.04,10.68,6.95,6.04,14.14
ALLSKY_SFC_SW_DWN,1998,6.34,10.19,12.69,16.66,20.03,17.07,21.93,18.74,15.61,10.76,7.39,5.98,13.64
ALLSKY_SFC_SW_DWN,1999,6.49,10.18,15.1,19.0,20.77,23.19,21.98,17.97,13.85,11.18,7.1,6.07,14.42
ALLSKY_SFC_SW_DWN,2000,6.67,9.67,14.44,14.11,18.21,18.37,19.3,17.74,14.69,10.11,7.35,6.41,13.1
ALLSKY_SFC_SW_DWN,2001,6.66,9.78,11.89,19.02,20.26,21.93,23.08,18.83,16.68,11.89,7.58,6.08,14.49
ALLSKY_SFC_SW_DWN,2002,5.87,10.28,12.61,16.93,20.45,21.06,22.43,20.85,15.45,10.52,6.23,5.88,14.07
ALLSKY_SFC_SW_DWN,2003,7.06,9.81,13.65,15.76,16.24,18.55,21.71,17.49,14.29,10.54,7.0,5.5,13.15
ALLSKY_SFC_SW_DWN,2004,6.94,11.14,11.5,16.37,18.75,22.06,18.88,18.33,15.48,10.45,7.47,5.42,13.56
ALLSKY_SFC_SW_DWN,2005,6.63,10.22,14.37,18.64,16.06,20.21,21.14,18.69,16.49,8.73,7.34,6.03,13.72
ALLSKY_SFC_SW_DWN,2006,6.0,10.38,15.25,18.12,17.15,16.71,20.96,18.94,14.47,10.92,6.55,5.61,13.44
ALLSKY_SFC_SW_DWN,2007,6.66,11.23,13.75,14.55,21.95,21.49,20.75,19.48,17.24,10.6,7.11,4.86,14.15
ALLSKY_SFC_SW_DWN,2008,6.83,8.38,13.43,18.2,20.3,19.86,20.9,19.07,14.88,11.71,6.86,4.87,13.79
ALLSKY_SFC_SW_DWN,2009,7.4,10.59,14.19,18.01,18.46,15.99,19.04,19.18,16.36,9.38,7.07,5.61,13.45
ALLSKY_SFC_SW_DWN,2010,6.97,9.51,12.46,17.65,22.46,20.22,22.75,18.63,14.84,10.52,7.08,5.81,14.1
ALLSKY_SFC_SW_DWN,2011,7.08,9.12,13.45,14.82,17.29,20.17,22.61,18.13,14.42,10.05,7.81,6.15,13.45
ALLSKY_SFC_SW_DWN,2012,7.31,10.41,13.89,19.67,17.18,21.22,22.13,20.3,15.3,9.12,8.01,4.95,14.12
ALLSKY_SFC_SW_DWN,2013,7.11,9.06,13.37,19.34,20.8,20.42,19.81,19.75,16.62,10.67,8.1,4.74,14.17
ALLSKY_SFC_SW_DWN,2014,6.73,9.54,13.13,17.69,18.29,22.79,21.85,19.63,16.4,9.56,6.83,4.86,13.95
ALLSKY_SFC_SW_DWN,2015,6.53,9.48,13.97,16.53,22.25,20.05,21.31,20.19,17.13,11.17,7.9,5.05,14.32
ALLSKY_SFC_SW_DWN,2016,7.03,9.76,13.96,18.75,18.64,24.01,22.06,20.5,14.86,10.72,7.61,5.98,14.5
ALLSKY_SFC_SW_DWN,2017,6.37,9.95,13.78,15.58,16.28,21.29,20.74,19.47,14.94,11.27,7.51,5.52,13.57
ALLSKY_SFC_SW_DWN,2018,6.67,8.69,12.72,15.47,20.23,21.46,23.49,18.11,12.81,8.85,5.92,6.51,13.44
ALLSKY_SFC_SW_DWN,2019,7.0,9.63,14.35,15.35,17.28,21.26,23.14,20.3,16.35,8.91,7.38,5.16,13.86
ALLSKY_SFC_SW_DWN,2020,6.96,9.36,13.86,15.27,23.11,22.56,21.97,19.0,15.94,9.88,7.01,5.1,14.18
ALLSKY_SFC_SW_DWN,2021,6.84,8.0,16.21,16.9,20.19,23.13,16.65,16.96,14.39,10.05,8.59,5.09,13.61
ALLSKY_SFC_SW_DWN,2022,6.97,9.82,13.66,17.61,21.73,22.47,23.55,19.98,15.26,10.92,8.16,6.02,14.71
